Ref,Val,Package,PosX,PosY,Rot,Side
"J3","Battery Connector","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",164.500000,-103.800000,-90.000000,bottom
"LED2","XL-HD6070RGBC-A46L","LED-SMD_XL-HD6070RGBC-A46L",152.300000,-53.900000,180.000000,bottom
