Designator,Mid X,Mid Y,Rotation,Layer
C1,131.225,-94.555,0.0,top
C2,167.225,-95.0,0.0,top
C3,166.225,-67.0,0.0,top
C4,162.225,-82.0,0.0,top
C5,149.775,-58.0,0.0,bottom
C6,162.225,-86.0,0.0,top
C7,161.0,-57.0,0.0,bottom
C8,161.0,-59.51,0.0,bottom
J1,131.0,-84.475,0.0,top
J2,136.0,-97.0,90.0,top
J3,154.0,-96.0,0.0,top
J4,141.625,-39.5,0.0,top
J5,156.0,-48.0,0.0,bottom
Q1,132.0625,-50.5,0.0,bottom
Q2,132.0625,-54.95,0.0,bottom
Q3,132.0625,-59.4,0.0,bottom
Q4,132.0625,-50.05,0.0,top
Q5,132.0625,-54.5,0.0,top
Q6,132.0625,-58.95,0.0,top
R1,130.825,-69.49,0.0,bottom
R10,136.175,-58.0,0.0,top
R11,136.175,-61.0,0.0,top
R12,136.175,-64.0,0.0,top
R13,136.185,-55.53,0.0,bottom
R14,136.185,-59.53,0.0,bottom
R15,136.185,-64.53,0.0,bottom
R16,131.0,-78.0,0.0,top
R17,131.0,-74.0,0.0,top
R18,131.0,-69.0,0.0,top
R19,167.175,-91.0,0.0,top
R2,130.825,-72.0,0.0,bottom
R20,166.175,-83.0,0.0,top
R21,166.175,-85.51,0.0,top
R22,166.175,-72.0,0.0,top
R3,130.825,-74.51,0.0,bottom
R4,130.825,-77.02,0.0,bottom
R5,136.175,-49.0,0.0,bottom
R6,136.175,-51.51,0.0,bottom
R7,136.175,-49.0,0.0,top
R8,136.175,-52.0,0.0,top
R9,136.175,-55.0,0.0,top
U1,143.0,-53.999873,0.0,top
U10,106.304837,-63.841961,0.0,top
U2,143.0,-53.999873,0.0,bottom
U3,163.000025,-93.96124,0.0,top
U4,143.721266,-83.438513,0.0,top
U5,158.225,-84.0,0.0,top
U6,159.0,-70.0,0.0,top
U7,165.650013,-54.0,90.0,top
U8,110.769441,-62.996647,0.0,top
U9,114.799467,-62.996622,0.0,top
VR1,155.0,-58.0,0.0,bottom
